userID,userName,email,userType,isVerified
6,User6,user6@example.com,STUDENT,false
8,User8,user8@example.com,STUDENT,true
10,User10,user10@example.com,STUDENT,false
13,User13,user13@example.com,STUDENT,true
15,User15,user15@example.com,STUDENT,true
18,User18,user18@example.com,STUDENT,true
19,User19,user19@example.com,STUDENT,true
1,User1,user1@example.com,FACULTY,false
12,User12,user12@example.com,FACULTY,false
20,User20,user20@example.com,FACULTY,true
5,User5,user5@example.com,VISITOR,true
2,User2,user2@example.com,ADMIN,false
3,User3,user3@example.com,ADMIN,false
4,User4,user4@example.com,ADMIN,true
9,User9,user9@example.com,ADMIN,true
17,User17,user17@example.com,ADMIN,true
